country,Year,obs_value,indicator,sex,GDP per capita (constant 2015 US$),GNI (current US$),"Population, total","Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Birth rate, crude (per 1,000 people)","Inflation, consumer prices (annual %)",Military expenditure (% of GDP)
Dominican Republic,2014,67.4,Egg and/or flesh foods consumption (6-23months),Male,6451.882897,63932555677.28,10315528.0,1.53,72.867,20.867,2.998642261,0.651437856
Dominican Republic,2019,71.3,Egg and/or flesh foods consumption (6-23months),Male,8195.983206,84872472558.56,10894043.0,1.25,73.577,19.291,1.81060377,0.689583055
Dominican Republic,2007,73.5,Egg and/or flesh foods consumption (6-23months),Total,5243.057076,41782483674.19,9455658.0,1.21,71.371,21.705,6.143566552,0.627619057
Dominican Republic,2013,66.4,Egg and/or flesh foods consumption (6-23months),Total,6098.905037,59709859337.24,10193833.0,1.72,72.713,21.166,4.830950967,0.611824773
Dominican Republic,2014,68.6,Egg and/or flesh foods consumption (6-23months),Total,6451.882897,63932555677.28,10315528.0,1.53,72.867,20.867,2.998642261,0.651437856
Dominican Republic,2019,68.7,Egg and/or flesh foods consumption (6-23months),Total,8195.983206,84872472558.56,10894043.0,1.25,73.577,19.291,1.81060377,0.689583055
Ecuador,2019,71.4,Egg and/or flesh foods consumption (6-23months),Female,5971.389384,104536017000.0,17340021.0,1.39,77.297,17.338,0.266012515,2.170051989
Ecuador,2019,71.6,Egg and/or flesh foods consumption (6-23months),Male,5971.389384,104536017000.0,17340021.0,1.39,77.297,17.338,0.266012515,2.170051989
Ecuador,2019,71.5,Egg and/or flesh foods consumption (6-23months),Total,5971.389384,104536017000.0,17340021.0,1.39,77.297,17.338,0.266012515,2.170051989
Egypt,2005,64.4,Egg and/or flesh foods consumption (6-23months),Female,2635.703052,89346865557.4,81101004.0,1.92,68.779,25.977,4.869396969,2.714220407
Egypt,2008,66.2,Egg and/or flesh foods consumption (6-23months),Female,3052.212978,164177881818.18,85864789.0,1.63,69.319,26.146,18.31683168,2.180785485
Egypt,2014,53.3,Egg and/or flesh foods consumption (6-23months),Female,3235.662462,298332708895.27,97528654.0,1.37,70.415,28.416,10.07021547,1.689694836
Egypt,2021,61.5,Egg and/or flesh foods consumption (6-23months),Female,3837.319923,412272565455.7,110957008.0,,70.221,22.558,5.214049405,1.122009271
Egypt,2005,64.9,Egg and/or flesh foods consumption (6-23months),Male,2635.703052,89346865557.4,81101004.0,1.92,68.779,25.977,4.869396969,2.714220407
Egypt,2008,65.0,Egg and/or flesh foods consumption (6-23months),Male,3052.212978,164177881818.18,85864789.0,1.63,69.319,26.146,18.31683168,2.180785485
Egypt,2014,52.9,Egg and/or flesh foods consumption (6-23months),Male,3235.662462,298332708895.27,97528654.0,1.37,70.415,28.416,10.07021547,1.689694836
Egypt,2021,58.8,Egg and/or flesh foods consumption (6-23months),Male,3837.319923,412272565455.7,110957008.0,,70.221,22.558,5.214049405,1.122009271
Egypt,2005,64.7,Egg and/or flesh foods consumption (6-23months),Total,2635.703052,89346865557.4,81101004.0,1.92,68.779,25.977,4.869396969,2.714220407
Egypt,2008,65.6,Egg and/or flesh foods consumption (6-23months),Total,3052.212978,164177881818.18,85864789.0,1.63,69.319,26.146,18.31683168,2.180785485
Egypt,2014,53.1,Egg and/or flesh foods consumption (6-23months),Total,3235.662462,298332708895.27,97528654.0,1.37,70.415,28.416,10.07021547,1.689694836
Egypt,2021,60.1,Egg and/or flesh foods consumption (6-23months),Total,3837.319923,412272565455.7,110957008.0,,70.221,22.558,5.214049405,1.122009271
El Salvador,2014,68.2,Egg and/or flesh foods consumption (6-23months),Female,3713.94992,21558030000.0,6162955.0,1.37,71.746,18.809,1.141344675,1.035254877
El Salvador,2014,67.9,Egg and/or flesh foods consumption (6-23months),Male,3713.94992,21558030000.0,6162955.0,1.37,71.746,18.809,1.141344675,1.035254877
El Salvador,2014,68.1,Egg and/or flesh foods consumption (6-23months),Total,3713.94992,21558030000.0,6162955.0,1.37,71.746,18.809,1.141344675,1.035254877
Swaziland,2006,59.8,Egg and/or flesh foods consumption (6-23months),Female,2792.138435,3305330021.24,1084436.0,2.1,43.12,31.229,5.304639463,1.809932745
Swaziland,2014,67.3,Egg and/or flesh foods consumption (6-23months),Female,3367.36337,4063414218.6,1136299.0,,53.05,28.423,5.681348858,1.822876774
Swaziland,2006,63.4,Egg and/or flesh foods consumption (6-23months),Male,2792.138435,3305330021.24,1084436.0,2.1,43.12,31.229,5.304639463,1.809932745
Swaziland,2014,70.5,Egg and/or flesh foods consumption (6-23months),Male,3367.36337,4063414218.6,1136299.0,,53.05,28.423,5.681348858,1.822876774
Swaziland,2006,61.7,Egg and/or flesh foods consumption (6-23months),Total,2792.138435,3305330021.24,1084436.0,2.1,43.12,31.229,5.304639463,1.809932745
Swaziland,2014,68.9,Egg and/or flesh foods consumption (6-23months),Total,3367.36337,4063414218.6,1136299.0,,53.05,28.423,5.681348858,1.822876774
Ethiopia,2005,11.2,Egg and/or flesh foods consumption (6-23months),Female,302.4750227,12365354408.43,78367470.0,,54.008,40.997,9.969971235,2.812218375
Ethiopia,2011,12.9,Egg and/or flesh foods consumption (6-23months),Female,474.1590343,31883271774.19,93149970.0,6.3,60.721,35.846,33.24995988,1.090706474
Ethiopia,2016,21.4,Egg and/or flesh foods consumption (6-23months),Female,662.3272959,74054063837.42,106718162.0,0.33,64.392,33.315,6.628133372,0.68356721
Ethiopia,2019,25.5,Egg and/or flesh foods consumption (6-23months),Female,774.5121694,95323016753.82,115737383.0,,65.838,33.123,15.80963217,0.579949537
Ethiopia,2005,10.8,Egg and/or flesh foods consumption (6-23months),Male,302.4750227,12365354408.43,78367470.0,,54.008,40.997,9.969971235,2.812218375
Ethiopia,2011,13.7,Egg and/or flesh foods consumption (6-23months),Male,474.1590343,31883271774.19,93149970.0,6.3,60.721,35.846,33.24995988,1.090706474
Ethiopia,2016,22.5,Egg and/or flesh foods consumption (6-23months),Male,662.3272959,74054063837.42,106718162.0,0.33,64.392,33.315,6.628133372,0.68356721
Ethiopia,2019,23.0,Egg and/or flesh foods consumption (6-23months),Male,774.5121694,95323016753.82,115737383.0,,65.838,33.123,15.80963217,0.579949537
Ethiopia,2005,11.0,Egg and/or flesh foods consumption (6-23months),Total,302.4750227,12365354408.43,78367470.0,,54.008,40.997,9.969971235,2.812218375
Ethiopia,2011,13.3,Egg and/or flesh foods consumption (6-23months),Total,474.1590343,31883271774.19,93149970.0,6.3,60.721,35.846,33.24995988,1.090706474
Ethiopia,2016,21.9,Egg and/or flesh foods consumption (6-23months),Total,662.3272959,74054063837.42,106718162.0,0.33,64.392,33.315,6.628133372,0.68356721
Ethiopia,2019,24.2,Egg and/or flesh foods consumption (6-23months),Total,774.5121694,95323016753.82,115737383.0,,65.838,33.123,15.80963217,0.579949537
Fiji,2021,72.6,Egg and/or flesh foods consumption (6-23months),Female,4489.960653,4054721701.44,916711.0,,67.114,19.345,0.155855722,1.599210097
Fiji,2021,73.2,Egg and/or flesh foods consumption (6-23months),Male,4489.960653,4054721701.44,916711.0,,67.114,19.345,0.155855722,1.599210097
Fiji,2021,72.9,Egg and/or flesh foods consumption (6-23months),Total,4489.960653,4054721701.44,916711.0,,67.114,19.345,0.155855722,1.599210097
Gabon,2012,54.6,Egg and/or flesh foods consumption (6-23months),Female,6803.226681,15456970450.54,1846889.0,,64.587,32.718,2.652418287,1.619804648
Gabon,2020,56.1,Egg and/or flesh foods consumption (6-23months),Female,6534.279665,14503352825.44,2322539.0,,66.531,27.695,1.352761107,1.72005327
Gabon,2012,58.8,Egg and/or flesh foods consumption (6-23months),Male,6803.226681,15456970450.54,1846889.0,,64.587,32.718,2.652418287,1.619804648
Gabon,2020,58.1,Egg and/or flesh foods consumption (6-23months),Male,6534.279665,14503352825.44,2322539.0,,66.531,27.695,1.352761107,1.72005327
Gabon,2012,56.7,Egg and/or flesh foods consumption (6-23months),Total,6803.226681,15456970450.54,1846889.0,,64.587,32.718,2.652418287,1.619804648
Gabon,2020,57.1,Egg and/or flesh foods consumption (6-23months),Total,6534.279665,14503352825.44,2322539.0,,66.531,27.695,1.352761107,1.72005327
Gambia,2013,43.6,Egg and/or flesh foods consumption (6-23months),Female,638.5223685,1345939442.49,2103820.0,,62.114,39.398,5.699129896,0.739511153
Gambia,2018,51.9,Egg and/or flesh foods consumption (6-23months),Female,658.1278333,1641472104.64,2399632.0,,63.04,34.924,6.520968239,0.715876284
Gambia,2020,53.2,Egg and/or flesh foods consumption (6-23months),Female,670.7586429,1785259979.97,2515733.0,1.11,62.612,33.719,5.931276366,0.80932491
Gambia,2013,41.1,Egg and/or flesh foods consumption (6-23months),Male,638.5223685,1345939442.49,2103820.0,,62.114,39.398,5.699129896,0.739511153
Gambia,2018,52.5,Egg and/or flesh foods consumption (6-23months),Male,658.1278333,1641472104.64,2399632.0,,63.04,34.924,6.520968239,0.715876284
Gambia,2020,50.0,Egg and/or flesh foods consumption (6-23months),Male,670.7586429,1785259979.97,2515733.0,1.11,62.612,33.719,5.931276366,0.80932491
Gambia,2013,42.3,Egg and/or flesh foods consumption (6-23months),Total,638.5223685,1345939442.49,2103820.0,,62.114,39.398,5.699129896,0.739511153
Gambia,2018,52.2,Egg and/or flesh foods consumption (6-23months),Total,658.1278333,1641472104.64,2399632.0,,63.04,34.924,6.520968239,0.715876284
Gambia,2020,51.5,Egg and/or flesh foods consumption (6-23months),Total,670.7586429,1785259979.97,2515733.0,1.11,62.612,33.719,5.931276366,0.80932491
Georgia,2018,63.4,Egg and/or flesh foods consumption (6-23months),Female,4713.653548453031,17228317459.06,3726549.0,4.24,73.341,14.395,2.615244714,1.897113157
Georgia,2018,58.6,Egg and/or flesh foods consumption (6-23months),Male,4713.653548453031,17228317459.06,3726549.0,4.24,73.341,14.395,2.615244714,1.897113157
Georgia,2018,61.0,Egg and/or flesh foods consumption (6-23months),Total,4713.653548453031,17228317459.06,3726549.0,4.24,73.341,14.395,2.615244714,1.897113157
Ghana,2008,66.5,Egg and/or flesh foods consumption (6-23months),Female,1281.835164,28562727613.98,24249946.0,,60.49,33.206,16.49463961,0.2940335
Ghana,2011,64.2,Egg and/or flesh foods consumption (6-23months),Female,1536.860371,38113676481.71,26095088.0,0.68,61.652,32.957,8.728459371,0.435154523
Ghana,2014,58.7,Egg and/or flesh foods consumption (6-23months),Female,1725.293876,51920567774.01,28041592.0,0.71,63.045,31.834,15.48961603,0.484989051
Ghana,2017,52.3,Egg and/or flesh foods consumption (6-23months),Female,1840.29925,57431261824.7,30008354.0,,64.013,28.978,12.37192155,0.312701279
Ghana,2008,69.6,Egg and/or flesh foods consumption (6-23months),Male,1281.835164,28562727613.98,24249946.0,,60.49,33.206,16.49463961,0.2940335
Ghana,2011,63.9,Egg and/or flesh foods consumption (6-23months),Male,1536.860371,38113676481.71,26095088.0,0.68,61.652,32.957,8.728459371,0.435154523
Ghana,2014,58.9,Egg and/or flesh foods consumption (6-23months),Male,1725.293876,51920567774.01,28041592.0,0.71,63.045,31.834,15.48961603,0.484989051
Ghana,2017,52.7,Egg and/or flesh foods consumption (6-23months),Male,1840.29925,57431261824.7,30008354.0,,64.013,28.978,12.37192155,0.312701279
Ghana,2008,68.0,Egg and/or flesh foods consumption (6-23months),Total,1281.835164,28562727613.98,24249946.0,,60.49,33.206,16.49463961,0.2940335
Ghana,2011,64.1,Egg and/or flesh foods consumption (6-23months),Total,1536.860371,38113676481.71,26095088.0,0.68,61.652,32.957,8.728459371,0.435154523
Ghana,2014,58.8,Egg and/or flesh foods consumption (6-23months),Total,1725.293876,51920567774.01,28041592.0,0.71,63.045,31.834,15.48961603,0.484989051
Ghana,2017,52.5,Egg and/or flesh foods consumption (6-23months),Total,1840.29925,57431261824.7,30008354.0,,64.013,28.978,12.37192155,0.312701279
Guatemala,2015,67.7,Egg and/or flesh foods consumption (6-23months),Female,3893.505218,60699664551.0,15971743.0,0.59,72.103,25.834,2.388720328,0.405967931
Guatemala,2015,66.8,Egg and/or flesh foods consumption (6-23months),Male,3893.505218,60699664551.0,15971743.0,0.59,72.103,25.834,2.388720328,0.405967931
Guatemala,2015,67.2,Egg and/or flesh foods consumption (6-23months),Total,3893.505218,60699664551.0,15971743.0,0.59,72.103,25.834,2.388720328,0.405967931
Guinea,2012,23.1,Egg and/or flesh foods consumption (6-23months),Female,719.5059168,7516064556.85,10921581.0,,57.406,38.44,15.2262941,2.245087357
Guinea,2016,34.2,Egg and/or flesh foods consumption (6-23months),Female,807.236421,8493617258.45,12073030.0,,58.763,37.396,8.172681123,1.921711146
Guinea,2018,31.9,Egg and/or flesh foods consumption (6-23months),Female,899.907328,11675180326.7,12704774.0,,59.349,35.931,9.827617013,1.771400561
Guinea,2012,20.7,Egg and/or flesh foods consumption (6-23months),Male,719.5059168,7516064556.85,10921581.0,,57.406,38.44,15.2262941,2.245087357
Guinea,2016,31.5,Egg and/or flesh foods consumption (6-23months),Male,807.236421,8493617258.45,12073030.0,,58.763,37.396,8.172681123,1.921711146
Guinea,2018,32.0,Egg and/or flesh foods consumption (6-23months),Male,899.907328,11675180326.7,12704774.0,,59.349,35.931,9.827617013,1.771400561
Guinea,2012,21.8,Egg and/or flesh foods consumption (6-23months),Total,719.5059168,7516064556.85,10921581.0,,57.406,38.44,15.2262941,2.245087357
Guinea,2016,32.8,Egg and/or flesh foods consumption (6-23months),Total,807.236421,8493617258.45,12073030.0,,58.763,37.396,8.172681123,1.921711146
Guinea,2018,31.9,Egg and/or flesh foods consumption (6-23months),Total,899.907328,11675180326.7,12704774.0,,59.349,35.931,9.827617013,1.771400561
Guinea-Bissau,2014,46.4,Egg and/or flesh foods consumption (6-23months),Female,623.6101591,1172586039.99,1741122.0,,58.61,36.472,-1.509244606,1.893804361
Guinea-Bissau,2019,38.6,Egg and/or flesh foods consumption (6-23months),Female,707.7936738,1615032331.88,1967696.0,,60.882,32.093,0.246600268,1.532115129
Guinea-Bissau,2014,44.3,Egg and/or flesh foods consumption (6-23months),Male,623.6101591,1172586039.99,1741122.0,,58.61,36.472,-1.509244606,1.893804361
Guinea-Bissau,2019,31.6,Egg and/or flesh foods consumption (6-23months),Male,707.7936738,1615032331.88,1967696.0,,60.882,32.093,0.246600268,1.532115129
Guinea-Bissau,2014,45.3,Egg and/or flesh foods consumption (6-23months),Total,623.6101591,1172586039.99,1741122.0,,58.61,36.472,-1.509244606,1.893804361
Guinea-Bissau,2019,35.1,Egg and/or flesh foods consumption (6-23months),Total,707.7936738,1615032331.88,1967696.0,,60.882,32.093,0.246600268,1.532115129
Guyana,2009,72.4,Egg and/or flesh foods consumption (6-23months),Female,4649.341448,3148777420.45,752094.0,2.0,66.563,21.832,2.952300964,0.981015648
Guyana,2014,65.9,Egg and/or flesh foods consumption (6-23months),Female,5635.717041,4154360152.01,754229.0,1.75,67.882,21.423,0.852630498,0.95165217
Guyana,2019,62.2,Egg and/or flesh foods consumption (6-23months),Female,6278.630541,5090626464.05,807665.0,2.18,69.124,20.828,2.087230892,1.299612785
Guyana,2009,68.1,Egg and/or flesh foods consumption (6-23months),Male,4649.341448,3148777420.45,752094.0,2.0,66.563,21.832,2.952300964,0.981015648
Guyana,2014,63.7,Egg and/or flesh foods consumption (6-23months),Male,5635.717041,4154360152.01,754229.0,1.75,67.882,21.423,0.852630498,0.95165217
Guyana,2019,60.4,Egg and/or flesh foods consumption (6-23months),Male,6278.630541,5090626464.05,807665.0,2.18,69.124,20.828,2.087230892,1.299612785
Guyana,2009,70.3,Egg and/or flesh foods consumption (6-23months),Total,4649.341448,3148777420.45,752094.0,2.0,66.563,21.832,2.952300964,0.981015648
Guyana,2014,64.8,Egg and/or flesh foods consumption (6-23months),Total,5635.717041,4154360152.01,754229.0,1.75,67.882,21.423,0.852630498,0.95165217
Guyana,2019,61.3,Egg and/or flesh foods consumption (6-23months),Total,6278.630541,5090626464.05,807665.0,2.18,69.124,20.828,2.087230892,1.299612785
Haiti,2006,36.2,Egg and/or flesh foods consumption (6-23months),Female,1305.038138,7645355507.79,9216562.0,,60.763,28.613,11.34521522,
Haiti,2012,38.9,Egg and/or flesh foods consumption (6-23months),Female,1354.885461,13763468551.06,10069771.0,,62.291,26.595,5.018041554,
Haiti,2017,37.7,Egg and/or flesh foods consumption (6-23months),Female,1432.672286,15151864668.2,10817754.0,,63.854,24.98,10.68008872,0.043645926
Haiti,2006,39.8,Egg and/or flesh foods consumption (6-23months),Male,1305.038138,7645355507.79,9216562.0,,60.763,28.613,11.34521522,
Haiti,2012,37.4,Egg and/or flesh foods consumption (6-23months),Male,1354.885461,13763468551.06,10069771.0,,62.291,26.595,5.018041554,
Haiti,2017,33.5,Egg and/or flesh foods consumption (6-23months),Male,1432.672286,15151864668.2,10817754.0,,63.854,24.98,10.68008872,0.043645926
Haiti,2006,38.0,Egg and/or flesh foods consumption (6-23months),Total,1305.038138,7645355507.79,9216562.0,,60.763,28.613,11.34521522,
Haiti,2012,38.2,Egg and/or flesh foods consumption (6-23months),Total,1354.885461,13763468551.06,10069771.0,,62.291,26.595,5.018041554,
Haiti,2017,35.6,Egg and/or flesh foods consumption (6-23months),Total,1432.672286,15151864668.2,10817754.0,,63.854,24.98,10.68008872,0.043645926
Honduras,2006,78.0,Egg and/or flesh foods consumption (6-23months),Female,2056.534915,10385040482.22,7656832.0,0.54,70.261,28.479,5.577752077,0.692430001
Honduras,2012,76.6,Egg and/or flesh foods consumption (6-23months),Female,2188.393788,17246974067.09,8715076.0,0.6,71.734,24.111,5.196186155,1.131788287
Honduras,2019,74.0,Egg and/or flesh foods consumption (6-23months),Female,2447.616493,22895236635.69,9943633.0,0.65,72.881,21.628,4.365871598,1.565120015
Honduras,2006,76.2,Egg and/or flesh foods consumption (6-23months),Male,2056.534915,10385040482.22,7656832.0,0.54,70.261,28.479,5.577752077,0.692430001
Honduras,2012,75.4,Egg and/or flesh foods consumption (6-23months),Male,2188.393788,17246974067.09,8715076.0,0.6,71.734,24.111,5.196186155,1.131788287
Honduras,2019,71.8,Egg and/or flesh foods consumption (6-23months),Male,2447.616493,22895236635.69,9943633.0,0.65,72.881,21.628,4.365871598,1.565120015
Honduras,2006,77.1,Egg and/or flesh foods consumption (6-23months),Total,2056.534915,10385040482.22,7656832.0,0.54,70.261,28.479,5.577752077,0.692430001
Honduras,2012,76.0,Egg and/or flesh foods consumption (6-23months),Total,2188.393788,17246974067.09,8715076.0,0.6,71.734,24.111,5.196186155,1.131788287
Honduras,2019,72.9,Egg and/or flesh foods consumption (6-23months),Total,2447.616493,22895236635.69,9943633.0,0.65,72.881,21.628,4.365871598,1.565120015
India,2006,11.5,Egg and/or flesh foods consumption (6-23months),Female,1008.232753,932915277251.68,1172878890.0,1.92,65.412,23.22,5.796523376,2.68038156
India,2015,18.6,Egg and/or flesh foods consumption (6-23months),Female,1583.998159,2079182865637.81,1328024498.0,1.7,69.636,18.765,4.906973441,2.457450061
India,2017,16.0,Egg and/or flesh foods consumption (6-23months),Female,1788.697703,2622801076651.03,1359657400.0,1.67,70.467,17.911,3.328173375,2.531511361
India,2020,21.9,Egg and/or flesh foods consumption (6-23months),Female,1806.501106,2638922006729.05,1402617695.0,1.62,70.15,16.572,6.623436776,2.807193874
India,2006,11.0,Egg and/or flesh foods consumption (6-23months),Male,1008.232753,932915277251.68,1172878890.0,1.92,65.412,23.22,5.796523376,2.68038156
India,2015,17.3,Egg and/or flesh foods consumption (6-23months),Male,1583.998159,2079182865637.81,1328024498.0,1.7,69.636,18.765,4.906973441,2.457450061
India,2017,13.3,Egg and/or flesh foods consumption (6-23months),Male,1788.697703,2622801076651.03,1359657400.0,1.67,70.467,17.911,3.328173375,2.531511361
India,2020,21.5,Egg and/or flesh foods consumption (6-23months),Male,1806.501106,2638922006729.05,1402617695.0,1.62,70.15,16.572,6.623436776,2.807193874
India,2006,11.2,Egg and/or flesh foods consumption (6-23months),Total,1008.232753,932915277251.68,1172878890.0,1.92,65.412,23.22,5.796523376,2.68038156
India,2015,17.9,Egg and/or flesh foods consumption (6-23months),Total,1583.998159,2079182865637.81,1328024498.0,1.7,69.636,18.765,4.906973441,2.457450061
India,2017,14.6,Egg and/or flesh foods consumption (6-23months),Total,1788.697703,2622801076651.03,1359657400.0,1.67,70.467,17.911,3.328173375,2.531511361
India,2020,21.7,Egg and/or flesh foods consumption (6-23months),Total,1806.501106,2638922006729.05,1402617695.0,1.62,70.15,16.572,6.623436776,2.807193874
Indonesia,2012,69.8,Egg and/or flesh foods consumption (6-23months),Female,2930.518445,891961469678.02,252698525.0,0.92,68.973,20.093,4.279499996,0.711549473
Indonesia,2017,72.1,Egg and/or flesh foods consumption (6-23months),Female,3553.519993,983437956204.84,267346658.0,1.15,69.936,17.519,3.80879807,0.865191376
Indonesia,2012,65.3,Egg and/or flesh foods consumption (6-23months),Male,2930.518445,891961469678.02,252698525.0,0.92,68.973,20.093,4.279499996,0.711549473
Indonesia,2017,70.6,Egg and/or flesh foods consumption (6-23months),Male,3553.519993,983437956204.84,267346658.0,1.15,69.936,17.519,3.80879807,0.865191376
Indonesia,2012,67.5,Egg and/or flesh foods consumption (6-23months),Total,2930.518445,891961469678.02,252698525.0,0.92,68.973,20.093,4.279499996,0.711549473
Indonesia,2017,71.3,Egg and/or flesh foods consumption (6-23months),Total,3553.519993,983437956204.84,267346658.0,1.15,69.936,17.519,3.80879807,0.865191376
Iraq,2018,63.4,Egg and/or flesh foods consumption (6-23months),Female,4749.009218,225613469034.03,40265624.0,1.05,71.514,28.429,0.367441489,2.788104308
Iraq,2018,66.4,Egg and/or flesh foods consumption (6-23months),Male,4749.009218,225613469034.03,40265624.0,1.05,71.514,28.429,0.367441489,2.788104308
Iraq,2018,64.9,Egg and/or flesh foods consumption (6-23months),Total,4749.009218,225613469034.03,40265624.0,1.05,71.514,28.429,0.367441489,2.788104308
Jordan,2007,66.0,Egg and/or flesh foods consumption (6-23months),Female,4287.352298,17686177715.09,6827227.0,1.7,73.373,29.085,4.74390639,5.851282566
Jordan,2012,61.4,Egg and/or flesh foods consumption (6-23months),Female,4677.47614,31246533521.13,7587127.0,1.68,74.366,27.018,4.515229567,4.655720907
Jordan,2017,56.5,Egg and/or flesh foods consumption (6-23months),Female,3940.701992,41401816901.41,10234226.0,1.45,75.502,23.377,3.323894476,4.684353741
Jordan,2019,68.0,Egg and/or flesh foods consumption (6-23months),Female,3919.064269,44510471126.76,10671891.0,1.36,76.044,22.6,0.761514047,4.566237503
Jordan,2007,65.7,Egg and/or flesh foods consumption (6-23months),Male,4287.352298,17686177715.09,6827227.0,1.7,73.373,29.085,4.74390639,5.851282566
Jordan,2012,59.8,Egg and/or flesh foods consumption (6-23months),Male,4677.47614,31246533521.13,7587127.0,1.68,74.366,27.018,4.515229567,4.655720907
Jordan,2017,62.3,Egg and/or flesh foods consumption (6-23months),Male,3940.701992,41401816901.41,10234226.0,1.45,75.502,23.377,3.323894476,4.684353741
Jordan,2019,55.6,Egg and/or flesh foods consumption (6-23months),Male,3919.064269,44510471126.76,10671891.0,1.36,76.044,22.6,0.761514047,4.566237503
Jordan,2007,65.9,Egg and/or flesh foods consumption (6-23months),Total,4287.352298,17686177715.09,6827227.0,1.7,73.373,29.085,4.74390639,5.851282566
Jordan,2012,60.5,Egg and/or flesh foods consumption (6-23months),Total,4677.47614,31246533521.13,7587127.0,1.68,74.366,27.018,4.515229567,4.655720907
Jordan,2017,59.6,Egg and/or flesh foods consumption (6-23months),Total,3940.701992,41401816901.41,10234226.0,1.45,75.502,23.377,3.323894476,4.684353741
Jordan,2019,62.0,Egg and/or flesh foods consumption (6-23months),Total,3919.064269,44510471126.76,10671891.0,1.36,76.044,22.6,0.761514047,4.566237503
Kazakhstan,2015,68.7,Egg and/or flesh foods consumption (6-23months),Female,10196.12263,172770506433.2,18084169.0,5.75,71.97,22.71,6.678285856,1.109721547
Kazakhstan,2015,72.7,Egg and/or flesh foods consumption (6-23months),Male,10196.12263,172770506433.2,18084169.0,5.75,71.97,22.71,6.678285856,1.109721547
Kazakhstan,2015,70.8,Egg and/or flesh foods consumption (6-23months),Total,10196.12263,172770506433.2,18084169.0,5.75,71.97,22.71,6.678285856,1.109721547
Kenya,2014,33.5,Egg and/or flesh foods consumption (6-23months),Female,1450.593382,60579831275.54,46051440.0,,61.816,31.298,6.878154993,1.199433367
Kenya,2022,26.9,Egg and/or flesh foods consumption (6-23months),Female,1747.531988,112689233872.21,54252461.0,,62.055,27.54,7.659862683,1.0102052
Kenya,2014,33.2,Egg and/or flesh foods consumption (6-23months),Male,1450.593382,60579831275.54,46051440.0,,61.816,31.298,6.878154993,1.199433367
Kenya,2022,28.8,Egg and/or flesh foods consumption (6-23months),Male,1747.531988,112689233872.21,54252461.0,,62.055,27.54,7.659862683,1.0102052
Kenya,2014,33.3,Egg and/or flesh foods consumption (6-23months),Total,1450.593382,60579831275.54,46051440.0,,61.816,31.298,6.878154993,1.199433367
Kenya,2022,27.8,Egg and/or flesh foods consumption (6-23months),Total,1747.531988,112689233872.21,54252461.0,,62.055,27.54,7.659862683,1.0102052
Kiribati,2009,68.4,Egg and/or flesh foods consumption (6-23months),Female,1340.275721,190501005.45,106467.0,1.5,64.892,30.578,9.816438845,
Kiribati,2018,59.0,Egg and/or flesh foods consumption (6-23months),Female,1803.948645,403822028.28,122084.0,,66.855,28.46,0.564030491,
Kiribati,2009,71.8,Egg and/or flesh foods consumption (6-23months),Male,1340.275721,190501005.45,106467.0,1.5,64.892,30.578,9.816438845,
Kiribati,2018,56.8,Egg and/or flesh foods consumption (6-23months),Male,1803.948645,403822028.28,122084.0,,66.855,28.46,0.564030491,
Kiribati,2009,70.2,Egg and/or flesh foods consumption (6-23months),Total,1340.275721,190501005.45,106467.0,1.5,64.892,30.578,9.816438845,
Kiribati,2018,57.8,Egg and/or flesh foods consumption (6-23months),Total,1803.948645,403822028.28,122084.0,,66.855,28.46,0.564030491,
Kyrgyzstan,2012,62.5,Egg and/or flesh foods consumption (6-23months),Female,985.8472866,6435842809.79,5652076.0,4.92,70.00243902,27.6,2.768442365,1.627972215
Kyrgyzstan,2014,69.3,Egg and/or flesh foods consumption (6-23months),Female,1088.582234,7159302170.58,5905847.5,4.74,70.40243902,27.7,7.534247298,1.713569023
Kyrgyzstan,2018,77.8,Egg and/or flesh foods consumption (6-23months),Female,1175.071369,8020105523.91,6444078.5,4.28,71.4,27.1,1.542661452,1.537258862
Kyrgyzstan,2021,73.6,Egg and/or flesh foods consumption (6-23months),Female,1132.554678,8626877845.07,6851224.0,4.23,71.9,22.4,11.90503982,2.840273088
Kyrgyzstan,2012,59.0,Egg and/or flesh foods consumption (6-23months),Male,985.8472866,6435842809.79,5652076.0,4.92,70.00243902,27.6,2.768442365,1.627972215
Kyrgyzstan,2014,72.6,Egg and/or flesh foods consumption (6-23months),Male,1088.582234,7159302170.58,5905847.5,4.74,70.40243902,27.7,7.534247298,1.713569023
Kyrgyzstan,2018,76.9,Egg and/or flesh foods consumption (6-23months),Male,1175.071369,8020105523.91,6444078.5,4.28,71.4,27.1,1.542661452,1.537258862
Kyrgyzstan,2021,72.8,Egg and/or flesh foods consumption (6-23months),Male,1132.554678,8626877845.07,6851224.0,4.23,71.9,22.4,11.90503982,2.840273088
Kyrgyzstan,2012,60.6,Egg and/or flesh foods consumption (6-23months),Total,985.8472866,6435842809.79,5652076.0,4.92,70.00243902,27.6,2.768442365,1.627972215
Kyrgyzstan,2014,71.1,Egg and/or flesh foods consumption (6-23months),Total,1088.582234,7159302170.58,5905847.5,4.74,70.40243902,27.7,7.534247298,1.713569023
Kyrgyzstan,2018,77.3,Egg and/or flesh foods consumption (6-23months),Total,1175.071369,8020105523.91,6444078.5,4.28,71.4,27.1,1.542661452,1.537258862
